sample_id,user_id,song_path,song_key,ground_truth_filename,response_index,intended_emotion,time_spent_seconds,song_amusement,true_amusement,song_anger,true_anger,song_sadness,true_sadness,song_contentment,true_contentment,song_disgust,true_disgust,song_awe,true_awe,song_fear,true_fear,song_excitement,true_excitement
user_109856__amusement_08297_mp3__r001,user_109856,songs/amusement/amusement_08297.mp3,amusement_08297.mp3,amusement\amusement_08297.mp3,1,amusement,65,1.0,0.23,0.5046,0.72,0.1651,0.69,0.1009,0.15,0.0,0.62,0.3899,0.96,0.7936,0.73,0.9037,0.57
user_109856__amusement_08307_mp3__r002,user_109856,songs/amusement/amusement_08307.mp3,amusement_08307.mp3,amusement\amusement_08307.mp3,2,amusement,85,1.0,0.41,0.2195,0.4,0.6829,0.5,0.2846,0.23,0.0,0.55,0.0244,0.7,0.5285,0.75,0.1382,0.47
user_109856__sadness_03440_mp3__r000,user_109856,songs/sadness/sadness_03440.mp3,sadness_03440.mp3,sadness\sadness_03440.mp3,0,sadness,81,0.4182,0.59,0.2424,0.22,1.0,0.59,0.3818,0.47,0.0,0.24,0.6545,0.65,0.5212,0.25,0.0303,0.64
user_121546__amusement_02938_mp3__r007,user_121546,songs/amusement/amusement_02938.mp3,amusement_02938.mp3,amusement\amusement_02938.mp3,7,amusement,45,1.0,0.46,0.8667,0.41,0.6857,0.15,0.5714,0.22,0.2857,0.45,0.0,0.18,0.7619,0.4,0.5619,0.68
user_121546__amusement_08302_mp3__r005,user_121546,songs/amusement/amusement_08302.mp3,amusement_08302.mp3,amusement\amusement_08302.mp3,5,amusement,34,1.0,0.19,0.0,0.65,0.26,0.22,0.84,0.46,0.15,0.47,0.09,0.46,0.42,0.25,0.66,0.63
user_121546__anger_01989_mp3__r002,user_121546,songs/anger/anger_01989.mp3,anger_01989.mp3,anger\anger_01989.mp3,2,anger,62,0.6554,0.42,1.0,0.17,0.6149,0.18,0.2973,0.45,0.1824,0.0,0.5541,0.0,0.0,0.0,0.8986,0.67
user_121546__awe_09148_mp3__r008,user_121546,songs/awe/awe_09148.mp3,awe_09148.mp3,awe\awe_09148.mp3,8,awe,37,0.4323,0.48,0.33,0.2,0.3432,0.04,0.6799,0.48,0.0,0.19,1.0,0.48,0.0066,0.05,0.5116,0.19
user_121546__awe_09155_mp3__r015,user_121546,songs/awe/awe_09155.mp3,awe_09155.mp3,awe\awe_09155.mp3,15,awe,31,0.3114,0.48,0.2491,0.23,0.1502,0.45,0.0,0.48,0.3333,0.62,1.0,0.48,0.1868,0.25,0.2198,0.51
user_121546__contentment_09986_mp3__r004,user_121546,songs/contentment/contentment_09986.mp3,contentment_09986.mp3,contentment\contentment_09986.mp3,4,contentment,45,0.4371,0.46,0.2934,0.22,0.1677,0.21,1.0,0.15,0.2994,0.16,0.994,0.45,0.0,0.15,0.515,0.43
user_121546__contentment_10027_mp3__r006,user_121546,songs/contentment/contentment_10027.mp3,contentment_10027.mp3,contentment\contentment_10027.mp3,6,contentment,43,0.2685,0.0,0.0134,0.45,0.3087,0.66,1.0,0.16,0.2416,0.65,0.5034,0.19,0.1946,0.41,0.0,0.19
user_121546__disgust_02529_mp3__r014,user_121546,songs/disgust/disgust_02529.mp3,disgust_02529.mp3,disgust\disgust_02529.mp3,14,disgust,28,0.6063,0.6,0.7717,0.41,0.8976,0.64,0.126,0.17,1.0,0.62,0.2598,0.51,0.0,0.21,0.2205,0.45
user_121546__disgust_04041_mp3__r011,user_121546,songs/disgust/disgust_04041.mp3,disgust_04041.mp3,disgust\disgust_04041.mp3,11,disgust,30,0.5745,0.18,0.0,0.42,0.9681,0.44,0.766,0.19,1.0,0.63,0.4362,0.46,0.7872,0.46,0.6809,0.47
user_121546__excitement_07984_mp3__r012,user_121546,songs/excitement/excitement_07984.mp3,excitement_07984.mp3,excitement\excitement_07984.mp3,12,excitement,31,0.7941,0.68,0.7157,0.0,0.4314,0.09,0.6618,0.43,0.0,0.2,0.902,0.45,0.5637,0.08,1.0,0.48
user_121546__excitement_15991_mp3__r013,user_121546,songs/excitement/excitement_15991.mp3,excitement_15991.mp3,excitement\excitement_15991.mp3,13,excitement,41,0.5673,0.66,0.2212,0.68,0.0,0.45,0.5096,0.5,0.0865,0.24,0.7885,0.62,0.3654,0.21,1.0,0.68
user_121546__fear_09248_mp3__r009,user_121546,songs/fear/fear_09248.mp3,fear_09248.mp3,fear\fear_09248.mp3,9,fear,37,0.3786,0.16,0.6643,0.58,0.0,0.42,0.2286,0.01,0.4429,0.63,0.1929,0.19,1.0,0.19,0.5429,0.42
